,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,
NAME_v1,0,i,t,x,i,s,y,t,e,n,t,w,e,n,t,y,-,,,,,,,,,,,,,,,
n_row = 8,1,f,i,v,e,z,h,a,l,f,q,u,a,r,t,e,r,,,,,,,,,,,,,,,
n_col = 16,2,p,a,s,t,o,v,t,w,o,n,e,i,g,h,t,q,,,,,,,,,,,,,,,
,3,t,h,r,e,e,l,e,v,e,n,s,i,x,t,e,n,,,,,,,,,,,,,,,
,4,f,o,u,r,f,i,v,e,s,e,v,e,n,i,n,e,,,,,,,,,,,,,,,
,5,t,w,e,l,v,e,p,i,n,a,t,h,e,w,y,o,,,,,,,,,,,,,,,
,6,m,i,d,n,i,g,h,t,m,o,r,n,i,n,g,q,,,,,,,,,,,,,,,
,7,a,f,t,e,r,n,o,o,n,e,v,e,n,i,n,g,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
author,Nick Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
email,nick@wyolum.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
licence,http://creativecommons.org/licenses/by/3.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_hour_word=32,it,is,a,quarter,twenty,-,ten,five,half,past,to,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,at,in,the,midnight,night,morning,afternoon,noon,evening
